distance,bleu,ter,tri,lcs,includesFurmula,onlyNumbers,includesBraces,hasFormatting,numberOfWords,includesLink,reviewScore,AI_trad_is_good
18,0.6666666667,0.3333333333,-2,90.90909091,0,1,0,0,3,0,0.169250646,0
0,1,0,0,100,0,1,0,0,1,0,0.03100775194,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,13,0,0.3828264758,1
0,1,0,0,100,0,0,0,0,7,0,0.3853820598,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,12,0,0.3830749354,1
0,1,0,0,100,0,0,0,0,8,0,0.3846899225,1
0,1,0,0,100,0,0,0,0,13,0,0.3828264758,1
0,1,0,0,100,0,0,0,0,7,0,0.3853820598,1
2,1,0.125,-2,97.14285714,0,0,0,0,8,0,0.3885658915,1
0,0.9649159444,-1,-1,100,0,0,0,0,28,0,0.3948277071,1
2,1,0.125,-2,97.77777778,0,0,0,0,8,0,0.3885658915,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,8,0,0.3846899225,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,0.9797986739,-1,-1,99.6350365,0,0,0,0,49,0,0.3884659467,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,10,0,0.3837209302,1
0,0.9607894392,-1,-1,100,0,0,0,0,25,0,0.3965932406,1
0,1,0,0,100,0,0,0,0,6,0,0.3863049096,1
0,1,0,0,100,0,0,0,0,9,0,0.3841515935,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,8,0,0.3846899225,1
0,1,0,0,100,0,0,0,0,6,0,0.3863049096,1
0,1,0,0,100,0,0,0,0,9,0,0.3841515935,1
0,1,0,0,100,0,0,0,0,11,0,0.3833685694,1
0,0.9574533681,-1,-1,100,0,0,0,0,23,0,0.3980211078,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,0.9574533681,-1,-1,100,0,0,0,0,23,0,0.3980211078,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,12,0,0.3830749354,1
0,1,0,0,100,0,0,0,0,9,0,0.3841515935,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,24,0,0.3814599483,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
1,0.9830508475,0.03389830508,-1.333333333,98.6631016,0,0,0,0,59,0,0.3890093286,1
2,1,0.1111111111,-2,97.95918367,0,0,0,0,9,0,0.3880275624,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0.03448275862,-2,99.34640523,0,0,0,0,29,0,0.3811815023,1
1,0.9574533681,0.04347826087,-4,99.15966387,0,0,0,0,23,0,0.3999590923,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
2,1,0.1333333333,-4,97.97979798,0,0,0,0,15,0,0.3863049096,1
0,1,0,0,100,0,0,0,0,8,0,0.3846899225,1
0,1,0,0,100,0,0,0,0,15,0,0.3824289406,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,7,0,0.3853820598,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,8,0,0.3846899225,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,10,0,0.3837209302,1
0,1,0,0,100,0,0,0,0,26,0,0.3813357185,1
0,1,0,0,100,0,0,0,0,8,0,0.3846899225,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,4,0,0.3895348837,1
0,1,0,0,100,0,0,0,0,8,0,0.3846899225,1
0,1,0,0,100,0,0,0,0,8,0,0.3846899225,1
0,1,0,0,100,0,0,0,0,12,0,0.3830749354,1
0,1,0,0,100,0,0,0,0,8,0,0.3846899225,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
1,0.9577464789,-1,-1,98.52631579,0,0,0,0,71,0,0.3987061906,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0.03703703704,-2,99.41176471,0,0,0,0,27,0,0.3812805053,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,44,0,0.3807258633,1
0,0.9555630363,-1,-1,100,0,0,0,0,22,0,0.3988303947,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
2,1,0.3333333333,-2,97.14285714,0,0,0,0,3,0,0.3966408269,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,6,0,0.3863049096,1
0,1,0,0,100,0,0,0,0,6,0,0.3863049096,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,6,0,0.3863049096,1
0,1,0,0,100,0,0,0,0,15,0,0.3824289406,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
3,1,0.05882352941,-36,96.11650485,0,0,0,0,17,0,0.3879388965,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,6,0,0.3863049096,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,2,0,0.3992248062,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,8,0,0.3846899225,1
0,1,0,0,100,0,0,0,0,6,0,0.3863049096,1
0,1,0,0,100,0,0,0,0,3,0,0.3927648579,1
0,1,0,0,100,0,0,0,0,6,0,0.3863049096,1
0,1,0,0,100,0,0,0,0,8,0,0.3846899225,1
0,1,0,0,100,0,0,0,0,6,0,0.3863049096,1
0,1,0,0,100,0,0,0,0,7,0,0.3853820598,1
0,1,0,0,100,0,0,0,0,5,0,0.3875968992,1
0,1,0,0,100,0,0,0,0,6,0,0.3863049096,1
30,0.6153846154,0.07692307692,-26,74.57627119,0,0,0,0,13,0,0.5900417412,1
5,0.7788007831,0.25,-2,100,0,0,0,0,4,0,0.4849609368,1
20,0.7470824042,0.09090909091,-6,82.9787234,0,0,0,0,11,0,0.5201583352,1
12,0.8333333333,0.1111111111,-7,88.29787234,0,0,0,0,18,0,0.4698535745,1
29,0.7122777528,0.2307692308,-4,77.52808989,0,0,0,0,13,0,0.5505482771,1
8,0.6065306597,0.5,-2,100,0,0,0,0,2,0,0.5672361784,1
7,0.6065306597,0.5,-2,100,0,0,0,0,2,0,0.5652981939,1
20,0.7686315513,0.28,-9,85.71428571,0,0,0,0,25,0,0.509832732,1
19,0.8273408462,0.0625,-6,93.40659341,0,0,0,0,16,0,0.4860112999,1
9,0.7054014374,-1,-1,93.05555556,0,0,0,0,12,0,0.5147022852,1
12,0.7788007831,0.25,-4,93.33333333,0,0,0,0,4,0,0.4985268283,1
33,0.6959861353,0.1111111111,-10,81.25,0,0,0,0,9,0,0.5659399131,1
24,0.7777777778,-1,-1,77.5862069,0,0,0,0,9,0,0.5167958656,1
23,0.7165313106,0.1111111111,-6,95.23809524,0,0,0,0,9,0,0.5385968219,1
57,0.7777777778,1,-18,51.92307692,0,0,0,0,9,0,0.580749354,1
49,0.4444444444,0.6666666667,-12,59.3220339,0,0,0,0,9,0,0.6944444444,1
12,0.8888888889,0.2222222222,-4,93.44262295,0,0,0,0,9,0,0.4504737295,1
33,0.7777777778,0.8888888889,-16,73.58490566,0,0,0,0,9,0,0.5342377261,1
50,0.4986958577,-1,-1,70.21276596,0,0,0,0,9,0,0.6753547494,1
7,0.8337529181,-1,-1,100,0,0,0,0,11,0,0.4613713143,1
2,0.7142857143,0.1428571429,-6,97.2972973,0,0,0,0,7,0,0.5,1
47,0.5,0.5,-2,62.5,0,0,0,0,2,0,0.6841085271,1
33,0.6666666667,0.3333333333,-2,79.16666667,0,0,0,0,3,0,0.5859173127,1
4,0.7844203812,0.05882352941,-32,95.28301887,0,0,0,0,17,0,0.4734348728,1
23,0.8,0.2,-2,87.09677419,1,0,0,0,5,0,0.5872093023,0
29,0.8319468916,-1,-1,84.42622951,0,0,0,0,17,0,0.5034633571,1
16,0.6618726769,0.125,-6,87.23404255,0,0,0,0,8,0,0.5467547764,1
2,0.954553461,-1,-1,98.85931559,1,0,0,0,43,0,0.4797566358,1
12,0.7430381998,0.1428571429,-4,90.625,0,0,0,0,7,0,0.5082354707,1
9,0.875,0.125,-2,90.625,0,0,0,0,8,0,0.4505813953,1
21,0.75,0.25,-2,78.57142857,0,0,0,0,4,0,0.5271317829,1
21,0.75,0.25,-2,78.57142857,0,0,0,0,4,0,0.5271317829,1
35,0.7083333333,0.04166666667,-38,66.39344262,0,0,0,0,24,0,0.5623385013,1
24,0.8125,0.0625,-26,80.51948052,0,0,0,0,16,0,0.5014534884,1
46,0.4885677894,-1,-1,79.16666667,0,0,0,0,13,0,0.6702033017,1
16,0.8952655317,-1,-1,92.19858156,0,0,0,0,55,0,0.45215219,1
23,0.8,0.6,-6,81.39534884,0,0,0,0,5,0,0.5096899225,1
14,0.8,0.2,-2,85.36585366,0,0,0,0,5,0,0.492248062,1
20,0.6065306597,0.25,-8,95.83333333,0,0,0,0,4,0,0.5808020699,1
36,0.6111111111,0.05555555556,-28,69.52380952,0,0,0,0,18,0,0.6024978467,1
18,0.8408528613,0.05555555556,-24,91.95402299,0,0,0,0,18,0,0.4785669358,1
31,0.8235294118,-1,-1,81.57894737,0,0,0,0,17,0,0.5106019152,1
37,0.7076829242,0.08695652174,-22,78.90625,0,0,0,0,23,0,0.5665367837,1
18,0.7692307692,0.3846153846,-10,82.43243243,0,0,0,0,13,0,0.5071556351,1
17,0.7647058824,0.2941176471,-5,83.14606742,0,0,0,0,17,0,0.5062699498,1
19,0.6666666667,0.1666666667,-6,80.76923077,0,0,0,0,6,0,0.5523255814,1
44,0.5,1,-16,67.34693878,0,0,0,0,8,0,0.6637596899,0
47,0.5362560368,0.2,-6,75.67567568,0,0,0,0,5,0,0.6584278927,0
46,0.4615384615,0.07692307692,-26,68.75,0,0,0,0,13,0,0.6806797853,1
17,0.6666666667,0.3333333333,-2,100,0,0,0,0,3,0,0.5549095607,1
40,0.6,0.2,-6,60,0,0,0,0,5,0,0.6201550388,1
25,0.7980538112,0.07142857143,-16,88.46153846,0,0,0,0,14,0,0.5093368395,1
50,0.6666666667,0.3333333333,-2,61.11111111,0,0,0,0,3,0,0.6188630491,1
6,0.8333333333,0.1666666667,-2,96.66666667,0,0,0,0,6,0,0.4625322997,1
13,0.8571428571,0.4285714286,-6,95.12195122,0,0,0,0,7,0,0.4659468439,1
25,0.7980538112,0.07142857143,-16,88.46153846,0,0,0,0,14,0,0.5093368395,1
19,0.6666666667,0.6666666667,-4,95.45454545,0,0,0,0,3,0,0.5587855297,1
40,0.6666666667,0.6666666667,-4,80,0,0,0,0,3,0,0.5994832041,0
30,0.625,0.0625,-24,72.05882353,0,0,0,0,16,0,0.585755814,1
36,0.5,0.07142857143,-26,70.66666667,0,0,0,0,14,0,0.646179402,1
26,0.690033311,0.08333333333,-8,84.21052632,0,0,0,0,12,0,0.5536046598,1
20,0.4390493089,0.2,-12,96.55172414,0,0,0,0,5,0,0.6437793376,1
17,0.8181818182,0.09090909091,-20,82.22222222,0,0,0,0,11,0,0.4867864693,1
21,0.875,0.125,-2,78.37837838,0,0,0,0,8,0,0.4738372093,1
32,0.7360387807,0.3521126761,-14.33333333,79.79539642,0,0,0,0,71,0,0.5447169264,1
8,0.6065306597,0.5,-2,100,0,0,0,0,2,0,0.5672361784,1
0,1,0,0,100,1,0,0,0,35,0,0.4584717608,1
15,0.7430381998,0.07142857143,-30,96.25,0,0,0,0,14,0,0.5112808749,1
31,0.7027489285,-1,-1,77.82258065,0,0,0,0,41,0,0.5560814325,1
30,0.9166666667,0.08333333333,-20,75.36231884,0,0,0,0,12,0,0.4735142119,1
32,0.7083333333,-1,-1,73.4375,1,0,0,0,24,0,0.6340439276,1
46,0.4444444444,0.1111111111,-20,63.46153846,0,0,0,0,9,0,0.688630491,1
13,0.7191070868,0.05263157895,-40,93.98496241,0,0,0,0,19,0,0.5159519655,1
30,0.5515605641,0.125,-10,81.63265306,0,0,0,0,8,0,0.6166431922,1
29,0.6666666667,0.3333333333,-2,80.95238095,0,0,0,0,3,0,0.5781653747,1
32,0.6959861353,0.1111111111,-10,75.80645161,0,0,0,0,9,0,0.5640019286,1
20,0.82198643,0.03125,-34,90.4494382,0,0,0,0,32,0,0.4888133992,1
46,0.6666666667,0.06666666667,-32,62.62626263,0,0,0,0,15,0,0.6007751938,1
5,0.9080923379,-1,-1,96.72131148,1,0,0,0,21,0,0.5045230879,1
33,0.6666666667,0.3333333333,-2,77.77777778,0,0,0,0,3,0,0.5859173127,1
7,0.3032653299,0.5,-4,100,0,0,0,0,2,0,0.6828428954,1
15,0.847826087,0.04347826087,-17.33333333,86.01694915,0,0,0,0,46,0,0.4687394675,1
21,0.8,0.3,-6,89.47368421,0,0,0,0,10,0,0.5019379845,1
51,0.4971329538,0.1111111111,-18,64.81481481,0,0,0,0,9,0,0.6778985106,1
4,0.7788007831,0.25,-2,100,0,0,0,0,4,0,0.4830229523,1
0,1,0,0,100,1,0,0,0,7,0,0.4629014396,1
0,1,0,0,100,1,0,0,0,5,0,0.4651162791,1
0,1,0,0,100,1,0,0,0,5,0,0.4651162791,1
0,1,0,0,100,1,0,0,0,3,0,0.4702842377,1
0,1,0,0,100,1,0,0,0,3,0,0.4702842377,1
0,1,0,0,100,1,0,0,0,3,0,0.4702842377,1
0,1,0,0,100,1,0,0,0,3,0,0.4702842377,1
0,1,0,0,100,1,0,0,0,5,0,0.4651162791,1
0,1,0,0,100,1,0,0,0,5,0,0.4651162791,1
0,1,0,0,100,1,0,0,0,5,0,0.4651162791,1
0,1,0,0,100,1,0,0,0,5,0,0.4651162791,1
29,0.5643211499,0.1666666667,-8,86.11111111,0,0,0,0,6,0,0.6113742313,1
55,0.7142857143,0.1428571429,-12,62.79069767,0,0,0,0,7,0,0.6027131783,1
11,0.8333333333,0.1666666667,-2,88.88888889,0,0,0,0,6,0,0.4722222222,1
21,0.5,0.5,-4,86.66666667,0,0,0,0,4,0,0.6240310078,1
35,0.5714285714,0.1428571429,-8,64.28571429,0,0,0,0,7,0,0.619324474,1
27,0.6666666667,0.6666666667,-4,75.75757576,0,0,0,0,3,0,0.5742894057,1
21,0.7054014374,0.1666666667,-4,90.625,0,0,0,0,6,0,0.5411880734,1
23,0.8574039192,-1,-1,89.23076923,0,0,0,0,13,0,0.482669918,1
18,0.7980538112,-1,-1,85.9375,0,0,0,0,14,0,0.495770948,1
16,0.8974358974,-1,-1,86.53846154,0,0,0,0,39,0,0.4516000795,1
17,0.7,0.8,-16,86.53846154,0,0,0,0,10,0,0.5329457364,1
7,0.6666666667,0.3333333333,-2,92.30769231,0,0,0,0,3,0,0.5355297158,1
26,0.7692307692,0.03846153846,-52,80.76923077,0,0,0,0,26,0,0.5211687537,1
9,0.7777777778,0.2222222222,-4,98,0,0,0,0,9,0,0.4877260982,1
67,0.4971329538,0.1111111111,-20,60,0,0,0,0,9,0,0.7089062625,1
7,0.848863219,-1,-1,94.12751678,0,0,0,0,95,0,0.4523989971,1
21,0.5,0.5,-4,84.21052632,0,0,0,0,4,0,0.6240310078,1
21,0.4776875404,0.1666666667,-6,94.28571429,0,0,0,0,6,0,0.6294492738,1
3,0.7788007831,0.25,-2,100,0,0,0,0,4,0,0.4810849678,1
2,0.8187307531,0.2,-2,100,0,0,0,0,5,0,0.4617322662,1
6,0.7165313106,0.3333333333,-2,100,0,0,0,0,3,0,0.5142643499,1
3,0.8187307531,0.2,-2,100,0,0,0,0,5,0,0.4636702507,1
17,0.8046197106,0.06896551724,-28,92.5,0,0,0,0,29,0,0.489856033,1
32,0.4548979948,0.25,-6,82.35294118,0,0,0,0,4,0,0.6628302346,1
3,0.8464817249,0.1666666667,-2,100,0,0,0,0,6,0,0.4516220705,1
3,0.7788007831,0.25,-2,100,0,0,0,0,4,0,0.4810849678,1
7,0.8464817249,-1,-1,100,0,0,0,0,12,0,0.4561440343,1
36,0.3894003915,0.25,-6,79.16666667,0,0,0,0,4,0,0.6959688405,1
25,0.7238699344,0.1,-12,82.53968254,0,0,0,0,10,0,0.5391976998,1
38,0.4912384518,0.2,-6,83.33333333,0,0,0,0,5,0,0.6584347086,1
21,0.8333333333,0.1666666667,-2,88.57142857,0,0,0,0,6,0,0.4916020672,1
22,0.8333333333,0.1666666667,-2,87.5,0,0,0,0,6,0,0.4935400517,1
19,0.8571428571,0.1428571429,-2,91.30434783,0,0,0,0,7,0,0.4775747508,1
21,0.5971094255,0.1666666667,-4,93.5483871,0,0,0,0,6,0,0.5831617214,1
0,1,0,0,100,1,0,0,0,5,0,0.4651162791,1
0,1,0,0,100,1,0,0,0,8,0,0.4622093023,1
0,1,0,0,100,1,0,0,0,12,0,0.4605943152,1
0,1,0,0,100,1,0,0,0,8,0,0.4622093023,1
2,0.9166666667,0.08333333333,-2,98.92473118,1,0,0,0,24,0,0.4951550388,1
3,0.8143536762,0.1,-4,98.11320755,0,0,0,0,10,0,0.4614908232,1
17,0.6549846025,0.2,-12,91.89189189,0,0,0,0,5,0,0.5542695339,1
32,0.7333333333,0.06666666667,-18,78.65168539,0,0,0,0,15,0,0.5478036176,1
2,0.8300915603,0.09090909091,-4,98.86363636,0,0,0,0,11,0,0.4531005228,1
14,0.7579571983,-1,-1,94.33962264,0,0,0,0,11,0,0.5043153918,1
6,0.5971094255,0.1666666667,-4,100,0,0,0,0,6,0,0.5540919539,1
23,0.6065306597,0.25,-10,93.5483871,0,0,0,0,4,0,0.5866160234,1
11,0.7772147983,-1,-1,95.37037037,0,0,0,0,16,0,0.4899361247,1
27,0.6666666667,1,-6,77.77777778,0,0,0,0,3,0,0.5742894057,1
22,0.6666666667,0.3333333333,-8,77.77777778,0,0,0,0,3,0,0.5645994832,1
21,0.875,0.375,-6,86.48648649,1,0,0,0,8,0,0.5513565891,1
2,0.7721847898,0.125,-8,97.5,1,0,0,0,8,0,0.5543857404,1
34,0.6333861926,0.1,-16,75,0,0,0,0,10,0,0.5917107781,1
17,0.8518518519,-1,-1,88.82352941,0,0,0,0,27,0,0.4716480046,1
12,0.8300915603,-1,-1,92.85714286,0,0,0,0,11,0,0.4724803678,1
39,0.8461538462,-1,-1,68.25396825,0,0,0,0,13,0,0.5180381634,1
14,0.8333333333,0.1666666667,-2,92.30769231,0,0,0,0,6,0,0.4780361757,0
21,0.4776875404,0.1666666667,-6,92.30769231,0,0,0,0,6,0,0.6294492738,1
35,0.5,0.5,-2,64.70588235,0,0,0,0,2,0,0.6608527132,1
18,0.7619047619,0.04761904762,-30,84.375,0,0,0,0,21,0,0.5088593577,1
20,0.6441233941,0.1428571429,-8,90.69767442,0,0,0,0,7,0,0.5620784187,1
14,0.8666666667,0.2,-6,86.73469388,0,0,0,0,15,0,0.4612403101,1
27,0.5362560368,0.1,-16,87.5,0,0,0,0,10,0,0.6157922338,1
35,0.7547169811,0.05660377358,-46,64.47761194,0,0,0,0,53,0,0.5434766711,1
32,0.6410499775,0.07692307692,-10,75,0,0,0,0,13,0,0.5839698954,1
15,0.5,0.25,-6,85,0,0,0,0,4,0,0.6124031008,0
59,0.1797315856,0.2,-10,81.81818182,0,0,0,0,5,0,0.8198714784,0
63,0.1818181818,0.09090909091,-24,38.0952381,0,0,0,0,11,0,0.8225863284,1
27,0,0.3333333333,-8,72.22222222,0,0,0,0,3,0,0.8326873385,1
75,0.3032653299,0.5,-4,33.33333333,0,0,0,0,2,0,0.8146258411,0
