en_distance,en_distance_blue,en_distance_ter,en_distance_tri,en_distance_LCS,includesFurmula,onlyNumbers,includesBraces,hasFormatting,numberOfWords,includesLink,reviewScore
30,0.6153846154,0.07692307692,-26,74.57627119,0,0,0,0,13,0,0.5900417412
0,1,0,0,100,0,0,0,0,6,0,0.3863049096
5,0.7788007831,0.25,-2,100,0,0,0,0,4,0,0.4849609368
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
1,0.9291611395,-1,-1,99.50248756,0,0,0,0,41,0,0.4101852267
20,0.7470824042,0.09090909091,-6,82.9787234,0,0,0,0,11,0,0.5201583352
0,1,0,0,100,0,0,0,0,8,0,0.3846899225
0,1,0,0,100,0,0,0,0,6,0,0.3863049096
0,1,0,0,100,0,0,0,0,6,0,0.3863049096
0,1,0,0,100,0,0,0,0,8,0,0.3846899225
5,0.9080923379,-1,-1,96.75925926,0,0,0,0,42,0,0.4260808583
59,0.25,0.75,-12,53.19148936,0,0,0,0,8,0,0.7897286822
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,3,0,0.3927648579
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,32,0,0.3810562016
12,0.8333333333,0.1111111111,-7,88.29787234,0,0,0,0,18,0,0.4698535745
35,0.3894003915,0.25,-6,74.19354839,0,0,0,0,4,0,0.694030856
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
9,1,0.5,-2,90.90909091,0,0,0,0,2,0,0.4166666667
0,1,0,0,100,0,0,0,0,6,0,0.3863049096
15,0.9361702128,-1,-1,88.97637795,0,0,0,0,47,0,0.4344796305
29,0.7122777528,0.2307692308,-4,77.52808989,0,0,0,0,13,0,0.5505482771
8,0.6065306597,0.5,-2,100,0,0,0,0,2,0,0.5672361784
7,0.6065306597,0.5,-2,100,0,0,0,0,2,0,0.5652981939
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
7,0.8846153846,-1,-1,95.71428571,0,0,0,0,26,0,0.4396243292
20,0.7686315513,0.28,-9,85.71428571,0,0,0,0,25,0,0.509832732
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
10,0.8731398527,-1,-1,94.73684211,0,0,0,0,30,0,0.4496873956
19,0.8273408462,0.0625,-6,93.40659341,0,0,0,0,16,0,0.4860112999
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
9,0.7054014374,-1,-1,93.05555556,0,0,0,0,12,0,0.5147022852
12,0.7788007831,0.25,-4,93.33333333,0,0,0,0,4,0,0.4985268283
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,3,0,0.3927648579
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
1,0.935506985,-1,-1,100,0,0,0,0,15,0,0.4093642177
33,0.6959861353,0.1111111111,-10,81.25,0,0,0,0,9,0,0.5659399131
0,1,0,0,100,0,0,0,0,3,0,0.3927648579
0,1,0,0,100,0,0,0,0,6,0,0.3863049096
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
0,1,0,0,100,0,0,0,0,21,0,0.3816906608
24,0.7777777778,-1,-1,77.5862069,0,0,0,0,9,0,0.5167958656
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
1,0.8948393168,-1,-1,100,0,0,0,0,9,0,0.4268495327
23,0.7165313106,0.1111111111,-6,95.23809524,0,0,0,0,9,0,0.5385968219
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
2,0.8824969026,-1,-1,100,0,0,0,0,8,0,0.4341097277
57,0.7777777778,1,-18,51.92307692,0,0,0,0,9,0,0.580749354
5,1,0.4,-4,94.87179487,0,0,0,0,5,0,0.3972868217
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
0,1,0,0,100,0,0,0,0,9,0,0.3841515935
0,1,0,0,100,0,0,0,0,9,0,0.3841515935
5,0.8187307531,-1,-1,97.43589744,0,0,0,0,5,0,0.4675462197
49,0.4444444444,0.6666666667,-12,59.3220339,0,0,0,0,9,0,0.6944444444
0,1,0,0,100,0,0,0,0,8,0,0.3846899225
8,0.875,0.125,-2,100,0,0,0,0,8,0,0.4486434109
6,0.9,0.1,-2,93.75,0,0,0,0,10,0,0.4341085271
12,0.8888888889,0.2222222222,-4,93.44262295,0,0,0,0,9,0,0.4504737295
1,0.9080923379,-1,-1,100,0,0,0,0,21,0,0.4192517701
33,0.7777777778,0.8888888889,-16,73.58490566,0,0,0,0,9,0,0.5342377261
0,1,0,0,100,0,0,0,0,6,0,0.3863049096
2,1,0.2,-2,97.36842105,0,0,0,0,5,0,0.3914728682
0,1,0,0,100,0,0,0,0,3,0,0.3927648579
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
4,0.9407529733,-1,-1,97.76536313,0,0,0,0,33,0,0.4117353991
50,0.4986958577,-1,-1,70.21276596,0,0,0,0,9,0,0.6753547494
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
7,0.8337529181,-1,-1,100,0,0,0,0,11,0,0.4613713143
2,0.7142857143,0.1428571429,-6,97.2972973,0,0,0,0,7,0,0.5
47,0.5,0.5,-2,62.5,0,0,0,0,2,0,0.6841085271
0,1,0,0,100,0,0,0,0,3,0,0.3927648579
0,1,0,0,100,0,0,0,0,3,0,0.3927648579
33,0.6666666667,0.3333333333,-2,79.16666667,0,0,0,0,3,0,0.5859173127
10,0.9,0.2,-4,92.72727273,0,0,0,0,10,0,0.4418604651
55,0.375,0.875,-14,62.79069767,0,0,0,0,8,0,0.7335271318
0,1,0,0,100,0,0,0,0,8,0,0.3846899225
0,1,0,0,100,0,0,0,0,7,0,0.3853820598
0,1,0,0,100,0,0,0,0,8,0,0.3846899225
0,1,0,0,100,0,0,0,0,8,0,0.3846899225
33,0.6428571429,-1,-1,73.91304348,0,0,0,0,14,0,0.5849944629
4,0.7844203812,0.05882352941,-32,95.28301887,0,0,0,0,17,0,0.4734348728
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
23,0.8,0.2,-2,87.09677419,1,0,0,0,5,0,0.5872093023
29,0.8319468916,-1,-1,84.42622951,0,0,0,0,17,0,0.5034633571
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
7,0.9057885044,0.03225806452,-7,95.78313253,0,0,0,0,31,0,0.4311772488
5,0.8668778998,0.1428571429,-4,97.36842105,0,0,0,0,7,0,0.4466696956
0,1,0,0,100,0,0,0,0,12,0,0.3830749354
0,1,0,0,100,0,0,0,0,10,0,0.3837209302
0,1,0,0,100,0,0,0,0,11,0,0.3833685694
0,1,0,0,100,0,0,0,0,10,0,0.3837209302
7,0.935483871,0.06451612903,-21,94.40993789,1,0,0,0,31,0,0.4971867967
16,0.6618726769,0.125,-6,87.23404255,0,0,0,0,8,0,0.5467547764
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
10,1,0.5,-2,90,0,0,0,0,2,0,0.4186046512
2,0.954553461,-1,-1,98.85931559,1,0,0,0,43,0,0.4797566358
12,0.7430381998,0.1428571429,-4,90.625,0,0,0,0,7,0,0.5082354707
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
20,0.8115092877,-1,-1,88.14102564,1,0,0,0,55,0,0.5698871683
10,0.9090909091,0.3636363636,-8,90.625,0,0,0,0,11,0,0.4379844961
0,1,0,0,100,0,0,0,0,3,0,0.3927648579
0,1,0,0,100,0,0,0,0,3,0,0.3927648579
0,1,0,0,100,0,0,0,0,3,0,0.3927648579
0,1,0,0,100,0,0,0,0,3,0,0.3927648579
12,0.7971451757,-1,-1,91.88191882,1,0,0,0,46,0,0.5600886579
11,0.9,0.4,-8,88.88888889,0,0,0,0,10,0,0.4437984496
9,0.875,0.125,-2,90.625,0,0,0,0,8,0,0.4505813953
15,0.75,0.25,-4,84.375,0,0,0,0,8,0,0.5106589147
8,0.9090909091,0.09090909091,-2,91.42857143,0,0,0,0,11,0,0.4341085271
8,0.9090909091,0.09090909091,-2,91.42857143,0,0,0,0,11,0,0.4341085271
10,0.7759892088,-1,-1,89.34911243,1,0,0,0,62,0,0.5641952304
26,0.6043763952,0.1176470588,-5.333333333,87.75510204,0,0,0,0,17,0,0.5858550224
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
21,0.75,0.25,-2,78.57142857,0,0,0,0,4,0,0.5271317829
21,0.75,0.25,-2,78.57142857,0,0,0,0,4,0,0.5271317829
1,0.9459594689,-1,-1,100,0,0,0,0,18,0,0.4048822041
58,0.2452529608,0.3333333333,-6,68.42105263,0,0,0,0,3,0,0.7977055708
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
0,1,0,0,100,0,0,0,0,6,0,0.3863049096
41,0.7352941176,0.02941176471,-44,69.79166667,0,0,0,0,34,0,0.5630414957
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,1,0,0,0,14,0,0.4601328904
28,0.7575757576,0.4848484848,-16,79.78142077,0,0,0,0,33,0,0.5292459479
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
0,1,0,0,100,0,1,0,0,1,0,0.03100775194
3,0.7632293333,0.04347826087,-30,96.11650485,1,0,0,0,23,0,0.5566350747
35,0.7083333333,0.04166666667,-38,66.39344262,0,0,0,0,24,0,0.5623385013
24,0.8125,0.0625,-26,80.51948052,0,0,0,0,16,0,0.5014534884
0,1,0,0,100,0,0,0,0,9,0,0.3841515935
0,1,0,0,100,0,0,0,0,13,0,0.3828264758
46,0.4885677894,-1,-1,79.16666667,0,0,0,0,13,0,0.6702033017
16,0.8952655317,-1,-1,92.19858156,0,0,0,0,55,0,0.45215219
28,0.7857142857,0.2857142857,-8,79.6875,0,0,0,0,14,0,0.5199335548
23,0.8,0.6,-6,81.39534884,0,0,0,0,5,0,0.5096899225
14,0.8,0.2,-2,85.36585366,0,0,0,0,5,0,0.492248062
20,0.6065306597,0.25,-8,95.83333333,0,0,0,0,4,0,0.5808020699
0,1,0,0,100,0,0,0,0,7,0,0.3853820598
5,0.9496929928,0.02564102564,-8,97.04433498,0,0,0,0,39,0,0.4100275619
36,0.6111111111,0.05555555556,-28,69.52380952,0,0,0,0,18,0,0.6024978467
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
0,1,0,0,100,0,0,0,0,12,0,0.3830749354
18,0.8408528613,0.05555555556,-24,91.95402299,0,0,0,0,18,0,0.4785669358
0,1,0,0,100,0,0,0,0,8,0,0.3846899225
9,0.925,0.125,-5,93.39207048,0,0,0,0,40,0,0.4273255814
31,0.8235294118,-1,-1,81.57894737,0,0,0,0,17,0,0.5106019152
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
0,1,0,0,100,0,0,0,0,1,0,0.4186046512
8,0.9086561573,-1,-1,94.64285714,0,0,0,0,32,0,0.4319646677
37,0.7076829242,0.08695652174,-22,78.90625,0,0,0,0,23,0,0.5665367837
0,1,0,0,100,0,0,0,0,8,0,0.3846899225
0,1,0,0,100,0,0,0,0,13,0,0.3828264758
0,1,0,0,100,0,0,0,0,7,0,0.3853820598
2,1,0.125,-2,97.14285714,0,0,0,0,8,0,0.3885658915
0,0.9649159444,-1,-1,100,0,0,0,0,28,0,0.3948277071
18,0.7692307692,0.3846153846,-10,82.43243243,0,0,0,0,13,0,0.5071556351
91,0.1666666667,0.1666666667,-14,50,0,0,0,0,6,0,0.8856589147
56,0,0.25,-10,43.47826087,0,0,0,0,4,0,0.8856589147
7,1,0.3333333333,-2,92.30769231,0,0,0,0,3,0,0.4063307494
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
7,0.8965517241,-1,-1,95.58823529,1,0,0,0,29,0,0.5123630045
17,0.7647058824,0.2941176471,-5,83.14606742,0,0,0,0,17,0,0.5062699498
19,0.6666666667,0.1666666667,-6,80.76923077,0,0,0,0,6,0,0.5523255814
44,0.5,1,-16,67.34693878,0,0,0,0,8,0,0.6637596899
47,0.5362560368,0.2,-6,75.67567568,0,0,0,0,5,0,0.6584278927
2,1,0.125,-2,97.77777778,0,0,0,0,8,0,0.3885658915
7,0.937290786,-1,-1,94.55252918,0,0,0,0,47,0,0.4185414239
46,0.4615384615,0.07692307692,-26,68.75,0,0,0,0,13,0,0.6806797853
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
0,1,0,0,100,0,0,0,0,4,0,0.3895348837
17,0.6666666667,0.3333333333,-2,100,0,0,0,0,3,0,0.5549095607
40,0.6,0.2,-6,60,0,0,0,0,5,0,0.6201550388
7,0.8594740541,-1,-1,94.55252918,0,0,0,0,41,0,0.4488236319
25,0.7980538112,0.07142857143,-16,88.46153846,0,0,0,0,14,0,0.5093368395
0,1,0,0,100,0,0,0,0,5,0,0.3875968992
50,0.6666666667,0.3333333333,-2,61.11111111,0,0,0,0,3,0,0.6188630491
0,1,0,0,100,0,0,0,0,8,0,0.3846899225
6,0.8333333333,0.1666666667,-2,96.66666667,0,0,0,0,6,0,0.4625322997
1,0.9131007163,-1,-1,100,0,0,0,0,11,0,0.4189884468
9,0.775417731,0.12,-5,94.96402878,0,0,0,0,25,0,0.4858846004
0,1,0,0,100,0,0,0,0,3,0,0.3927648579
6,1,0.3333333333,-4,93.75,0,0,0,0,6,0,0.3979328165
29,1,0.5,-4,85.18518519,0,0,0,0,4,0,0.4457364341
13,0.8571428571,0.4285714286,-6,95.12195122,0,0,0,0,7,0,0.4659468439
0,1,0,0,100,0,0,0,0,30,0,0.3811369509
25,0.7980538112,0.07142857143,-16,88.46153846,0,0,0,0,14,0,0.5093368395
0,1,0,0,100,0,0,0,0,2,0,0.3992248062
19,0.6666666667,0.6666666667,-4,95.45454545,0,0,0,0,3,0,0.5587855297
