en-US_translated,TAKE_RIGHT
-,1
4.8,1
S7 Office - Swimlane Flow Analysis (Final),1
nothing,1
EMF - Production Strategies,1
Production Strategies,1
Typology of production processes,1
MFE - Formulas for MFE(1),1
Formulas for MFE(1),1
MFE - MFE Formulas (2),1
Formulas for MFE (2),1
EMF - Use cases,1
Use cases,1
MFE - MFE Formulas (3),1
Formulas for MFE (3),1
!!!Satisfaction survey,1
!!!Satisfaction survey,1
"Hello I am your manager, you will have to report to me on the different feedbacks you will get on the field",1
"Hello, okay I get it!",1
"It is important to understand that the exchanges generated during the Active Supervision Tour (AST) must allow for the identification of gaps, risks and opportunities in order to capture and address them. The objective of the ASR is to move from a ""firefighter"" mode to a problem anticipation mode by exchanging with one's colleagues. Benevolence consists of taking a genuine interest in the problems encountered by employees. ",0
I see,1
"Here is an interesting graph by Kubler Kross showing the evolution of morale and Productivity over time, when faced with a change. It won't have any influence in this mini-game, but it's something to consider when you're out in the field!",1
"Alright, let's see this graph then!",1
Stages of change,1
Kübler Ross,1
Shock,1
Denial,1
Anger,1
Negotiation,1
Depression,1
Acceptance,1
Experimentation,1
Decision,1
Integration,1
Morale and Productivity,1
Time,1
"Okay, here we go!",1
Did you want to talk about something else?,1
"Hello, do you have any questions?",1
What do you have to tell me? (SAFETY),1
"Indeed, you have to go there to get hurt!",0
"Don't think so, there's a reason you have a mask. No sore throat?",1
"You never know, danger can come from the surroundings.",1
Haha! That's for sure!,1
"No need to check, there is no risk at the painting station.",0
"What do you mean ""no need to check""? Safety comes first, you can't afford to ignore that.",1
"No, everything is fine on this side. Our protective masks have high performance filters.",1
"Yes, but the safety zone is well defined, no risk there.",1
Safety protocol is well enforced around the painting station.,1
"Yes logical, we make sure that all the posts have a well defined area.",1
No itching from paint particles that might be lingering in the air?,1
Do you remember to change the mask filter regularly to avoid inhalation problems? ,1
"No more, my outfit protects me completely! ",0
"No worries, the protective gear is effective for the painting station.",1
"Okay, that doesn't surprise me. Anything else?",1
"Yes yes, I am careful, there is no risk on that side, thank you!",1
I made sure that the Operator at the painting station was following the safety instructions. They seem to be effective since no problems were reported at this level.,0
"Very well thank you, it's important to make sure that all positions are secure yes.",0
What do you have to say to me?,0
"Really? We have a big delivery this week, are you done yet?",1
"Oh well, good for you!",1
"Not at all, on the contrary! But I don't have any paint!",1
"Uh, if you say so...",1
No work for the painting workstation.,1
And? Did you leave it like that? We have to see why.,1
And you just waited without doing anything?,1
How come? You are not supplied?,1
"Indeed, without paint you can't work. Just keep waiting for your job to be filled.",0
"Well, I went to look in the inventory, but there were none left.",1
No! For a few days Felix has not been coming to supply my post.,1
"Well, okay...",1
The painting station is waiting to be supplied.,1
"This is not normal, you did not even dig to know why? You have to go and find out.",1
"Well, if there are no more, that's that. We have to wait until we order new paintings.",1
But isn't there an inventory?,1
You can go get the paint yourself instead of doing nothing.,1
"Yes, that's normal, he's been assigned to another shop. I'm going to go ask why they don't come and supply your station.",1
"Okay, this is not normal. I'll have a word with Felix.",1
Ok well I'll wait then.,1
"I don't know, usually when I go to get it, there's inventory.",0
