French,AI_is_good
Quiz : Sensibilisation au Lean,1
Le débit du poste goulot ,1
L'en-cours du processus,1
Une formation croisée,0
Quelle est l'affirmation fausse ? ,1
AMDEC,1
Accidents,0
Le suivi des actions en cours,0
FAUX,1
FAUX,1
Aucun,0
Déplacements inutiles ,0
"Pour te souvenir des 7 gaspillages, utilise l'acronyme DAMNESS = ""Déplacements inutiles, Attentes, Mouvements inutiles, Non Qualité, En-cours/Stocks inutiles, Surproduction, Surprocessing"".",0
Faire une traçabilité,1
FAUX,1
Déplacements inutiles ,0
Attentes ,0
La gestion en FIFO d'un en-cours de production consiste à...,1
Respecter un ordre de prise des produits : dernier entré premier sorti,1
Respecter un ordre de prise des produits : premier entré premier sorti ,1
"Supprimer, Situer, (faire) Scintiller, Standardiser, Suivre, Sécurité. Le 6S a aussi été traduit par ORDRES en français : Ordonner (ou plus littéralement ôter l’inutile), Ranger, Dépoussiérer, Découvrir des anomalies, Rendre évident, Etre rigoureux, faire attention à la Sécurité.",0
Les attentes,0
Aucun,0
Non attente,0
Non production,0
Non qualité,0
Non écoute,0
"Défauts, Attentes, Mouvements inutiles, Non écoute, En-cours/Stocks inutiles, Surproduction, Surprocessing",0
"Déplacements inutiles, Attentes, Mouvements inutiles, Non Qualité, En-cours/Stocks inutiles, Surproduction, Surconsommation",0
Les attentes,0
La non qualité,0
Vrai,1
Départs inutiles,0
Défauts,0
Déception,0
"DAMNESS est un acronyme mnémotechnique des 7 gaspillages qui signifie ""Déplacements inutiles, Attentes, Mouvements inutiles, Non Qualité, En-cours/Stocks inutiles, Surproduction, Surprocessing"". Le D correspond donc à Déplacements inutiles",0
"Supprimer, Situer, (faire) Scintiller, Standardiser, Suivre. Le 5S a aussi été traduit par ORDRE en français : Ordonner (ou plus littéralement ôter l’inutile) Ranger, Dépoussiérer, Découvrir des anomalies, Rendre évident, Etre rigoureux.",0
Vrai,1
Le temps de changement de série,0
Le Temps Utile (ou Temps à Valeur Ajoutée),0
Les pauses,1
Les maintenances planifiées,0
Changement par les petits pas,0
Le Temps Utile (ou Temps à Valeur Ajoutée),0
Les pauses,1
Les maintenances planifiées,0
Contrôler ou Control en anglais,0
Contrôleur,0
A la bonne gestion des ressources,0
Des demandes des clients,1
Vrai,1
Une démarche Lean s'appuie notamment sur quel principe ?,0
"""Tendre"" le flux logistique",0
Vrai,1
"Pour te souvenir des 7 gaspillages, utilise l'acronyme DAMNESS = ""Déplacements inutiles, Attentes, Mouvements inutiles, Non Qualité, En-cours/Stocks inutiles, Surproduction, Surprocessing"" ou l'acronyme TIMWOOD en anglais (Transport, Inventory, Motion, Waiting, Overproduction, Overprocessing, Defects)",0
Accélère les flux,0
Produire dans les délais demandés par le client,0
Innover ,0
Mais que cela ne vous empêche pas de remettre en route un DMAIC en recherchant de nouvelles améliorations possibles !,0
Faux,1
Aucun,0
Une remise en cause permanente et l'Intelligence Collective ,1
Une réduction des coûts,0
Quelles sont les opérations à valeur ajoutée ?,1
"Défauts, Attentes, Mémoire défaillante, Non Respect, Expectations impossibles, Surproduction, Superposition",0
"Déplacements inutiles, Attentes, Mouvements inutiles, Non Respect, En-cours/Stocks inutiles, Surproduction, Surprocessing ",0
"DAMNESS = l'acronyme français pour mémoriser les 7 gaspillages : Déplacements inutiles, Attentes, Mouvements inutiles, Non Qualité, En-cours/Stocks inutiles, Surproduction, Surprocessing ",0
Une mesure de l'efficacité relative d'un process - il représente le pourcentage de temps à valeur ajoutée d'un produit tout au long du chemin critique ,0
Anti-erreurs,0
Champion,1
Contrôleur,0
Faux ,0
Une remise en cause permanente et l'Intelligence Collective ,1
La réduction des coûts de l'entreprise,0
Les valeurs de l'entreprise,0
Les attentes,0
La révision des véhicules,1
La vision du dirigeant,1
Les attentes,0
A la production,1
Un stock,1
des commandes clients,1
pour réduire les en-cours,1
La gestion en FIFO d'un en-cours de production consiste à...,0
respecter un ordre de prise des produits : dernier entré premier sorti,0
respecter un ordre de prise des produits : premier entré premier sorti ,0
Le niveau de stocks,1
FAUX,1
Faux,0
Coffre,0
Défaut,1
Le niveau de stocks,1
RTF=Somme des VA /temps total du processus = 2h / 96h = 2.08%,0
Innover,0
Modéré,1
Fort,0
0%<R&R<50%,0
R&R >50%,0
Moyen,0
Réitérabilité,0
Diagramme de dispersion,0
Service après-vente,0
Fabrication sur stock,0
La Vérification des Charges Globales,0
Répondre aux réclamations des clients,1
PIC,0
CBN,0
Le calcul des besoins nets par écart,0
Le calcul des besoins régénératif,0
Calculer les besoins de stock,0
Le chargement,0
Les fournitures de bureau,1
Le prix des composants,0
Un stock de couverture,0
LIFO,1
La mise à jour des stocks,1
